"_id","lat","lng","state","country","city","p"
"ObjectId(""5ebd6277c7b01f00197ab69f"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",30
"ObjectId(""5ebd62a1c7b01f00197ab6a0"")","-3.7304512","-38.5217989","Ceará","Brasil","Fortaleza",0
"ObjectId(""5ebd62c4c7b01f00197ab6a1"")","-22.5615068","-47.401766","São Paulo","Brasil","Limeira",1
"ObjectId(""5ebd62ccc7b01f00197ab6a2"")","-22.9839557","-43.2022163","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd62e1c7b01f00197ab6a3"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",1
"ObjectId(""5ebd6301c7b01f00197ab6a4"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",0
"ObjectId(""5ebd630ec7b01f00197ab6a5"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",1
"ObjectId(""5ebd631fc7b01f00197ab6a7"")","-22.5086783","-45.2792398","Minas Gerais","Brasil","Delfim Moreira",0
"ObjectId(""5ebd639ac7b01f00197ab6aa"")","-29.585935","-55.484112","Rio Grande do Sul","Brasil","Manoel Viana",0
"ObjectId(""5ebd63aac7b01f00197ab6ab"")","-10.6743911","-37.3773519","Sergipe","Brasil",,0
"ObjectId(""5ebd63d5c7b01f00197ab6ad"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd63f6c7b01f00197ab6ae"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0
"ObjectId(""5ebd6420c7b01f00197ab6b0"")","-22.90556","-47.06083","São Paulo","Brasil","Campinas",0
"ObjectId(""5ebd6433c7b01f00197ab6b1"")","-22.783092","-43.4293599","Rio de Janeiro","Brasil","Mesquita",0
"ObjectId(""5ebd6475c7b01f00197ab6b3"")","-23.501667","-47.458056","São Paulo","Brasil","Sorocaba",0
"ObjectId(""5ebd647bc7b01f00197ab6b4"")","-21.1330483","-47.8199056","São Paulo","Brasil","Ribeirão Preto",1
"ObjectId(""5ebd64c9c7b01f00197ab6b5"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd64dac7b01f00197ab6b6"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",4
"ObjectId(""5ebd64f5c7b01f00197ab6b7"")","-22.9719642","-43.1843432","Rio de Janeiro","Brasil","Rio de Janeiro",3
"ObjectId(""5ebd6500c7b01f00197ab6b8"")","-23.958653","-46.3385266","São Paulo","Brasil","Santos",1
"ObjectId(""5ebd651cc7b01f00197ab6b9"")","-22.9783058","-43.22020020495947","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6586c7b01f00197ab6ba"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd6590c7b01f00197ab6bb"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",0
"ObjectId(""5ebd65a1c7b01f00197ab6bc"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd65c3c7b01f00197ab6be"")","-23.9513973","-46.3374426","São Paulo","Brasil","Santos",0
"ObjectId(""5ebd662cc7b01f00197ab6c0"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",44
"ObjectId(""5ebd6650c7b01f00197ab6c1"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd668bc7b01f00197ab6c2"")","-31.7636377","-52.2721084","Rio Grande do Sul","Brasil","Pelotas",0
"ObjectId(""5ebd669ec7b01f00197ab6c3"")","-21.9549806","-49.0232348","São Paulo","Brasil",,0
"ObjectId(""5ebd66b8c7b01f00197ab6c4"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd66dac7b01f00197ab6c5"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd6707c7b01f00197ab6c7"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",2
